overall,reviewText,summary
1,"I've had these boots for less than 2 months, and the zipper on the back came apart. It can't be repaired becaue it is not actually a real zipper, and does not zip up and down. I asked the seller to refund my money because the boots are defective and cannot repair the zipper. The seller will not provide shipping costs and the item must be returned in box it came in, which I no longer have. The lack of customer support for a defective item is the reason not to buy these boots. I am not willing to put more money into these defective boots to get less money back by having to pay for shipping.

Update: I discovered the zipper would actually zip up and down, after pulling so hard, I was worried it would damage the boot even more. The zipper is not functional, isn't supposed to be used to put on boot, and now it's stuck and won't zip all the way back up. Bending down, the zipper keeps pulling apart when worn. Poor design and poor quality. So the zipper does go up and down, but still defective because the zipper isn't strong enough to hold while wearing and comes apart, and now won't go all the way back up. I could try some oil but not worth it. Waste of money.","Defective, poor customer service"
1,Was looking for Christians caps and going this antichristian one by the same manufacturer.  Very disappointed.,"Antichrist cap,  not Christian"
1,"Kind of dissapointed I have ordered 2 now, first the light gold for my nieces flower girl dress which is to the T the color of bells dress in beauty and the beast...not ""light gold"" then orders the Champaign cause that's the actual color for my wedding and it's maybe a half a shade lighter than the first one..very yellow gold careful what you order after  $70 down the drain I'm done with this seller but i guess my beice has some bew dress up dresses..Good luck!",Colors don't match picture
1,Received the wrong glasses.,One Star
1,I recieved these May 9 2018 and have worn to work mostly in an office and some limited time on a shop floor.  I have worn for 24 days and the tread if coming off. Expected more for $115. Naturally its to late to return them.....disappointed. I normally get 8 to 9 months out of other similar shoes.  I won't buy this brand again.,Poor quality at a high price
1,"made from material like a wetsuit, sizes run really small...",One Star
1,What was pictured was not what I received.,One Star
1,This is NOT for tall people even though the ad says big & tall. Very disappointing. Will be returning.,NOT FOR TALL.
1,Indescribably awkward,One Star
1,china garbage,One Star
1,Too small even after going up a size. Very cheaply made too,One Star
1,"Looks okay but is tiny in size
More for a child's head
Horrible over stitching which has to be painstakingly removed.
NOT A GOOD OR WOTHWHILE PRODUCT",TERRIBLE STICHING AND SIZE IS FOR OLDER CHILD NOT ADULTS
1,The earrings are missing the stones right out of the package,The earrings are missing the stones right out of the package
1,One time through Chicago and the plastic holding the wheel to the case is broken.,One Star
1,DOES NOT FIT ANY MANS Anatomy! The pouch isn't even a pouch,Doesn't fit at all
1,Screw backs did not hold. Lost two weeks into wearing,Bad screw backs
1,"Was intended to be a Valentine's gift, but suddenly backorder. Did finally ship but when they arrived it was a totally different product.  Laredo boots instead of Ariat. Ariat are an exceptional brand from my own experience, the Laredo boots not nearly the same quality. Don't understand how they got them mixed up.","Was intended to be a Valentine's gift, but suddenly ..."
1,not everything is should be. can change the time but not the date,One Star
1,"too small, ment for a midgit",to small
1,It doesn't work properly. .,One Star
1,The shirt was used too bad,Why
1,way too small and thin. disappointed.,does not slouch
1,Terrible quality...,One Star
1,Broke immediately. There is no way this piece of junk is sterling. The clasp broke and the chain fell off putting it on for the first time. So much for my daughter wearing it for her concert. Very disappointing.,Junk jewelry
1,Too tight when open the bows almost touch so I tried to adjust and they broke Oh well they were cheap lesson learned,Too tight when open the bows almost touch so I ...
1,Disappointed,One Star
1,The actual scarf color is a yellowy tan color and not light brown/taupe as displayed online.  Disappointed.,Disappointed.
1,"IT WAS A RIP OFF...NOT SAME AS PHOTO...NO LUSTER,SHINE OR GOLD HEARTS...VERY POOR QUALITY",VERY POOR
1,"WORST SHIRT EVER! This is a horrible knock off ""Oakley"" shirt! I am not paying 20 dollars for a shirt that is printed sideways without tags....I should have been an actual Oakley shirt if you are going to use their branding and logo!",WORST SHIRT EVER
1,"Poor quality, missing pieces, gigantic. Had to send back.",One Star
1,When shirt arrived it had a black ink smudge that appeared just below the right side of the pilgrim- no possible was it could have been overlooked before packaging.  Sloppy work- and cheap shirt material.  Won't order again!,When shirt arrived it had a black ink smudge that ...
1,The material is cheap and the dress is not sown properly,One Star
1,"This coat does NOT run true to the sizes posted. Beware! We ordered two in XXL and both are too tight on me, a U.S. Medium. Now I have to figure out how to return these items to China, likely at my cost. Wasn't worth the low price for this hassle.",NOT the sizes that are posted!
1,Ordered a toddler 3 1/2 and received baby 3/6 months. After reading previous review I see I am stuck with them. It's too bad because I would have reordered if I could've returned. Waste of money,It's too bad because I would have reordered if I could've returned
1,If purchasing the white dress please be sure to purchase a slip or under garment. It's completely sheer material.,If purchasing the white dress please be sure to purchase ...
1,terrible fit,One Star
1,"The silver metal almost looks black. Looks cheap, returning it",One Star
1,Way too large. Look cheap.,Way too large
1,WORST PAIR OF FAKE SUNGLASSES I HAVE EVER SEEN!!!!!! Ordered a black pair of Spys and the pair I received were white. Total fake pair. Worse than any swap meet glasses. Total rip off!!!,FAKE FAKE FAKE! WRONG COLOR TOO!!!
1,Not even close to the size I ordered. Runs way small. Not very well made either. Would never buy this product again.,Panties not what were advertised
1,"These shoes cause severe pain to my feet, horrible support",don't buy
1,What is the warranty on this item,One Star
1,too much portions inside i could not find what i put inside. I will never buy zipper purse again. zipper stocked it was not moving smoothly! I don't have patient to deal all that stuff.,too much portions inside i could not find what i ...
1,Way to big,One Star
1,I can't wear it it's too small. IT DOES not look good.,IT DOES not look good.
1,Wasn't a Beanie was a Small Ball Cap!,One Star
1,packing watch is so bad ,One Star
1,The color was not what was shown. I thought the size was a litter small.,One Star
1,"I can't wear them at all... they are WAY too small... and I went by the sizing chart when I ordered them.  I wouldn't suggest ordering these unless you've got your crystal ball handy so you can pick out the correct size.  And, to make matters worse, the seller was NO HELP AT ALL with this problem... and asked that I ship them to CHINA if I wanted to return them (even though they came to me from within the US).  What a nightmare.  I am so sorry I ever ordered them.  The quality is very poor as well.  Don't waste your money!","to make matters worse, the seller was NO HELP AT ALL with ..."
1,The pants would not even come pass my thighs! They appeared to be made for a child.,Inaccurate Sizing
1,"Very cute, made in China, runs at least 2 sizes too small",Made in China runs very small.
1,The box was busted and it seemed to already be worn with the little charms missing... That's quite upsetting to me.,Not worth it
1,Crap.,Crappy thing
1,"Money wasted, small, cheap material.",One Star
1,way too small...,One Star
1,"Cheap fabric, runs too small, won't buey that brand againg",One Star
1,"I'm a big girl. And my girls need their room.. Even a 4x is tight.. These shirts are just to fitted for WE GIRLS WHO NEED THE ROOM. Fortunately I wear a vest, so I only have to button 3 buttons under the vest. They need to loosen up this shirt for big girls..",Too tight for big girls...
1,"They look very sleek, but uhm... One week on the glue fastener / adhesive between the shoe and the sole? That's bs",Fell Apart Reaal quick
1,The zipper was broken as soon as I put it on.,Weak
1,These earring I received broken!!!,Disappointed!!!
1,Poor quality,One Star
1,This was supposed to be a 2X like the other cat shirt.  It was way too small and the sleeve are to tight.,This was supposed to be a 2X like the other cat shirt
1,These are kids! Little tiny kids. Maybe put that in your title. Waste of time.,Waste of time
1,"Very cute, but fell apart within the first few months of school. My daughter is in 3rd grade and didn't put alot in the backpack. ....but the shoulder strap came completely undone on one side. Unfortunate. She was so upset.","Very cute, but fell apart within the first few ..."
1,fake stuff,One Star
1,"I have ordered  one size 2xl large, but when i tried it did not fit me.  is Rof material cotton, this materiel normally is use to make sugar bag of 35 kg
I was complet surprise. How could you guys sale something that do not represent the description.","I have ordered one size 2xl large, but when ..."
1,Tarnished quickly! Disappointment,Disappointment
1,"My 2 year old started to wear this 3 weeks ago - each for a couple of hours a daily, today the part connected to the sole just broke !  I wasted so much money for only 3 weeks usage.  I will not buy from this brand again.",I wasted so much money for only 3 weeks usage
1,The stone broke,It broke
1,"Pretty, warm gloves, BUT, the leather decorative detailing on the top of both red gloves came undone after light use, and I cannot figure out how to repair them.  The black pair was given as a gift and I hope my recipient does not experience the same failure.  I would like to return them for a refund.....","Pretty, but disappointing construction."
1,Built really cheap,One Star
1,Wayyyyyyyyy too small. And the fabric is that of an cheap exercise shirt. Not worth the money.,Order this if you're trying to order disappointment.
1,"Item looks like a Halloween costume, and it is that cheap.  Very very cheap. As the other reviewer said, it is very see through. You could not even find this at the cheapest chain of retailers. Not exaggerating....very thin, and cheap.",Cheapest Material Ever Purchased in My Life
1,These earrings are very pretty but such a waste of money. My daughter had them in for 1 day before 1 fell out and got lost then minutes later the other ones back broke and that one fell out too! So my daughter got one days wear out of them... What a waste of money!,Don't waste your money!
1,This shirt is majorly mis-sized!! Ordered a XL and it fits like a S.,Sizing is WRONG
1,Cheap!! Made of rubber,One Star
1,I love everything it's just too small I can't wear it.,One Star
1,Both of the backs broke when I took my earrings off. Very poor quality. Flimsy.,Flimsy
1,Way way too big. Chose a size 10 junior for my tall 9 year old boy and it is an adults medium size. My son was shattered,Way way too big. Chose a size 10 junior ...
1,Not impressed,One Star
1,The tighting mechanism came undone on last ride. Not sure how long these shoes will make it.  Only about six rides on them.,The tighting mechanism came undone on last ride. Not ...
1,"I ordered a large size,while I get it is a small size. Its too small to wear",wrong size received!!!!
1,"The items I recieved we're nothing like what was shown in the photo display for the item listing or described. The earrings felt flimsy and I could tell that they were cheaply made. I'm not sure if they were 14k as I did not see a stamp on neither of the earrings. I requested a refund, returned the items to the seller and it was dealt with in a timely fashion. I've attached photos of the earrings that were sent to me.",Not as described
1,"It is NOT 100% Cotton as advertised.  It is some slinky, polyester jersey fabric.  I don't know any man (or woman) who would wear this.  Also, the Ruger logo is VERY blurry and the size is too small.  I'm going to Cabella's and buying the real thing --- for the same price..",It is NOT 100% Cotton as advertised. It is ...
1,"I can't understand how a company that makes baby clothing can design an outfit like this. We could barely get my daughter into it!  Once it was on it was adorable, but then we had to squeeze her out of it. Definitely NOT worth it",Ridiculous baby outfit.
1,Was terrible,One Star
1,"I saw that too, over did it on the photoshop with her non existent waist.",Make her look a little more believable
1,"Poorly made, ripped soon after I bought it, within a few days",Cheap and poorly made
1,I ordered a large but it fits like a small and I wear sizes medium and large in shirts. Does not fit.,I ordered a large but it fits like a small and I wear sizes medium and large ...
1,Terrible material . Its basically a rag !no shape to it and super big.,Cheaply made
1,After using this handbag the quality is just not there.  Where the handle are attached has separated from the body of purse.  I was going to return it but the time has passed. If I had bought it locally it would have been returned.  Not satisfied.,Not satisfied.
1,This is a cute style but the fur sheds like CRAZY. I got it all over my face and in my eyes the first time I put it on. I had to flush my eyes with eye drops and I couldn't get the fur off my face...it's super fine and sticks to everything.,This is a cute style but the fur sheds like CRAZY. I got it all over my face ...
1,"This is way small. Super bummed, its like an xxs/xs","Super bummed, its like an"
1,I have been wearing them for 5 days and they are falling apart. I need to return them,One Star
1,"this has to have the smallest wearable area on plugs i have a bought, and this is coming from someone that doesn't have very thick lobes.",this has to have the smallest wearable area on plugs ...
1,They look very nice but runs small,One Star
1,Poor quality!,One Star
1,The XL was closer to an XS. I gave it to my 8 year old niece & it fits her. Ha! I complained to Amazon and was given a credit to be used on Amazon.,XL is really XS
1,material was very flimsy.,sucks
1,"Size large is more like a small

Unexceptionable",One Star
1,this was horrible.  ordered a size 10 and could not fit it. these shoes must be for chinese ppl :/,this was horrible. ordered a size 10 and could not fit ...
1,Jewelry turn brass. Very very disappointed,Very very disappointed
1,I wear a large shirt but this large shirt looks like a football jersey on me.  Sent it back without replacement.,Way too large
1,They don't feel authentic also the engraved R B on the right lens look's like they scratched it in there self. Never again will I purchase again from this seller. Matter of a fact of m returning them!!!,... the engraved R B on the right lens look's like they scratched it in there self
1,Arrived tangled and broken.,One Star
1,i ordered Large and it did not fit me at all in fact the stitching was weak and was uncomfortable,i ordered Large and it did not fit me at ...
1,BAD T,Bad t
1,There is velcro on the side and it doesn't hold the boots together. We had to stich it together to hold and it's hard for our d's to get her foot in after you stich it.,There is velcro on the side and it doesn't hold ...
1,Returned it.,Too large
1,"Thanks for the arm warmers, although it's not exactly what I had in mind when I ordered this shirt for my husband's birthday.",Wrong item received.
1,"I bought one of these around 2 months ago and I loved decided to get a second one and this guy screwed me it looks more Satan horns rather than Batman. It says ""Gotham"" not ""Gotham city"" I want my full refund or let me return the damn thing and get the right hat",What happened?
1,"When this bathing suit first arrived we loved it. Good fit and nice bright colors. However, after my daughter wore it MAYBE TWICE to the swimming pool it started to fade....and now (especially after a trip to Wet & Wild) it is totally faded and looks at least a year old after 1 month of wear.  My son's bathing suit and swim shirt came from Wal mart at the beginning of the summer....still looks great like the day I bought it. Completely disappointing...........",When this bathing suit first arrived we loved it. Good fit and nice bright colors
1,Terrible quality. The red wears off just by adjusting the buckle.,One Star
1,We purchased this but did not need it. We tried to return it but Mountain of Books never responded to our return request.,We purchased this but did not need it. We ...
1,Says 18G in the description but the sizes received were 20G.  Misleading description.,One Star
1,way too small.,One Star
1,Not comfortable at all. Run small.,One Star
1,"I can usually get away with ordering shoes on line and having them fit properly.  These sandals are extremely narrow and very small for an 8 1/2.  The materials are unforgiving, poorly made and upon closer inspection the seams were pulling and the bands looked ready to rip away from the soles.  Horrible product and beware if you order them online as they do not offer free return shipping.",Horribly cheap and poorly made
1,It runs soooo small,One Star
1,Does not fit oversized -fits like a regular sweater,One Star
1,"Yeah it says ""Big size "" but the bill on this thing is ridiculous . Unwearable unless you wanna get laughed at.","Yeah it says ""Big size "" but the bill on ..."
1,"Way, way, way  to small...My own fault for buying it. I usually look at the reviews before buying. Didn't do it on this on.",Sized wrong!!!!
1,Ordered a XS looks more like medium doesn't look anything like the picture but that's what you get for $10.00,horrid and cheap
1,Came stained but didn't want to deal with the hassle of returning it.,One Star
1,"I normally don't like to leave bad reviews even if I'm unsatisfied with a product but with this item, it's a must. The quality looks nice and the style is amazing but the sizes are too small. US buyers, beware, L is really a small and XL is like a medium.",Not satisifed
1,Too big for the size it's supposed to be also way to long,One Star
1,inherent right to self defense,theft
1,Lense fell out and shattered a month after having them.  Horrible!,Horrible!
1,"I have had this strap for about a week and the fur is rubbing off. Maybe my own fault because I'm a designer and wear my watch on my mouse-hand, but still a little disappointing. Here's a photo one week in...",Fur rubs off.
1,This sneaker is not for a woman size 9 but a child size 9 very disappointed!!!,The sizing is wrong cut to small
1,This belt was not leather.  It smells like toxic plastic.  The description is inaccurate.  No where on the belt did it say it was leather.  There's weird pattern on this belt.  Returned.,This belt was not leather.  It smells like toxic plastic.
1,The straps sag. Look awful,One Star
1,The size code says that XL fits a person whose size is 16 regular. It doesn't fit as the size code says.,T
1,"Turned green after the first day, and smelled like cheap jewelry",and smelled like cheap
1,"The onesie was a different color and the graphic wasn't centered on the onesie, it was crooked. The product listed the color of onesie as charcoal, the onesie was received as black making it difficult to see parts of the graphic.",Wrong Image
1,Only got 3 pairs not 4 pair....this is deceptive advertising....what a ripoff,Only got 3 pairs not 4 pair....this is deceptive advertising....what a ripoff
1,Poor quality dress. Looks nothing like the pic. Very disappointed. When it washes the dress falls apart.,Do not waste your time or money
1,This dress has the weirdest fit. It's definitely not a good choice for curvier women. It fits strange on the bust and the hips area. The inner lining seemed to ride up too. Not impressed!,Doesn't work for Curvy women
1,"This bag looks great in the photo. It arrived smashed and out of shape. There was no reviving it. It also had a few quarter-sized circular marks pressed into the faux leather, like a heavy object had been set on it causing ugly indentations.

I would not recommend ordering this bag!",Not recommended!
1,bad refund policy.  i had to pay to send it back $11 cuz i did not like the quality either.,bad refund policy
1,"It's narrow,get up a size.","It's narrow, get up a size."
1,Very baggy,One Star
1,"For me,the dress was too gaudy-it just wasn't my style,I therefore did not try it on-i just returned it",Rosette and lace dress
1,"It doesn't close when I have to, so it is very uncomfortable to take around. It was a big mistake to order this umbrella, and returning it is a waste of time.",and returning it is a waste of time
1,The tag was on the outside,One Star
1,Cannot recommend.,One Star
1,Awful. Loose and tight in all the wrong areas. Shoulders don't stay up and this dress shows all of your flaws.,Awful and not impressed
1,Mis sized. Xl is like a medium. My son can't fit in it. And there was no return info. Extremely disappointed,Xl is like a medium
1,I cant understand the sizes they describe,One Star
1,"Adjustable sizing but poor fit due to the female figure. Simply does not work. Wore the suspenders twice than gave up. If you are small breasted woman, these will probably work well. But if you are a C cup, D cup or above, the straps slip to the outside or down the center of the chest.  Either way, they DO NOT FUNCTION. Would only recommend for a small breasted woman size B cup or below.",Women beware.
1,"Glad I only paid about $5 for these! I wanted a cheap pair just for house cleaning days.  First, that cute bow? Well, inside, from that bow to the bottom are two large edging rolls that run down to the bottom (This is that 'piping' that is around the top). This is so uncomfortable and rubs non-stop! Second, while reviewers said they run a bit large, I wanted this for my size 9 Wide feet that are now swollen. HOWEVER, the unstable thick bottom padding causes you to 'rock', killing the back, hips, and legs! Just fine if you want to look how cute they are. Just don't plan on wearing them!",Irritating!!
1,Cheap and plastic looks awful and cant see out of the glasses!  Dont waste your money or time on this crap!,Dont waste your money or time on this crap
1,This was a joke. There was nothing on the front of the shirt and the design on the back was very small. This ended up being a replica with flaws. I have several of these shirts so I was disappointed in this item.,I have several of these shirts so I was disappointed in this item
1,"I had already returned a Small which actually seemed to cut off thecirculation in my hands; unfortunately, I also returned the size Medium as it was only a smidge larger than the small.  I am a small lady with small hands so I'm not going to bother trying the size Large.  They are beautifully made gloves in a gorgeous color but are really children's sizes.",Sized really for children rather than adults (even small ones!)
1,This is like a tee ... And I imagine better for someone young. Not flattering otherwise.,Re: sleep shirt like
1,I was very careful when ordering this shirt to make sure I ordered the correct size. I received a smaller shirt that I ordered this was a birthday gift. I am not happy.,Sent wrong size
1,"Poor seller, delivered a different model than I bought and do not know if the shoe is original because it is very poorly finished.

photo of the model delivered and that it does not look like anything the model purchased",Photo Wrong
1,Boo,One Star
1,"After washing it (following all the directions indicated on the tag), the onsie came out with the print pretty worn.  Its also made from very thin material.  I would not buy anything from this vendor again or recommend it to anyone.  I thought I had read the reviews before buying it but now I seem to be echoing those with similar complaints.  Take a look at the photo to decide how worn out it looks after 1 wash (following the directions on the tag).",the onsie came out with the print pretty worn. Its also made from very thin material
1,Is not at all I expected the fabric and the size . It looks very cheap it more like doll dress.,It looks very cheap it more like doll dress
1,Terrible shoes. Wasted my money.,One Star
1,This shirt fits extremely small. After reading the size chart I ordered an extra large for my medium sized daughter. The decal is very thick and plastic feeling. It also cracks. The saying is totally true you get what you pay for.,Cheap tshirt. Extremely small fit and crappy decal
1,"I ordered a large and it was like a very small medium. I can't even wear it. Second shirt that I got from my order that I have to throw away.

I'm not happy.",To small to wear
1,Too short and too small for my son. Had to return them. They are very cute though.,One Star
1,"Way too small when compared to the ""size guide.""  I'm not an overweight person and I know these are to worn tight but this was WAY too tight for the size that was suggested.  I returned and will look at other brands.",Nice but too small
1,Faded way too quickly and not as clear of an image as it shows here.,One Star
1,Junk,Junk
1,"Does not fit or look the way it is depicted. If you are on the smaller side, steer clear. This product looks like it is cut for a woman's shape in the pictures but in actuality it is cut straight down. Fits extremely loose. It is not thick at all so forget about buying this to keep warm. Also, the buttons and zippers are a really cheap looking brassy color. Ill fitting. Cheaply made and it shows.",This product looks like it is cut for a woman's shape in the ...
1,"I normally wear a size small or medium.
I've viewed reviews, most people were complaining about the size being too small so I ordered 2X but still too small for me...",I normally wear a size small or medium. I've ...
1,"Picture was not what I ordered, and the toe ring would not fit my toe or my finger. Very dissatisfied with the toe ring.","Picture was not what I ordered, and the toe ..."
1,Useless.  Not even close to stated size.  Entirely too wide to put my kilt buckle on.  Will not fit the belt loop on my kilt.  This is being returned.,Of no use to me whatsoever.
1,Super poor quality.  This shirt shrink so badly after one wash that my husband cant wear it.  Do not buy.,Super poor quality
1,"This was small and SO uncomfortable for my 7 year old that she will not even wear this.  The Pony design is very ""scratchy"" on and hence, it sits in her dresser, unworn.",This was small and SO uncomfortable for my 7 year ...
1,Way too small. Had to give away. Seriously too small.,Size runs very tiny
1,The inseam came unsewn the first time they were worn. Never had been washed. Just worn. Woke up to a gaping hole in the leg,Sub-quality pajamas
1,Lacy bottom is very statick and clingy. Top fits too loose. am returning it,Clingy bottom
1,"Excellent Stetson-construction... but, too-too ""small"":  I ordered my hat-size ""7 1/2"" and its size-tag read that, but the hat was closer to a ""6 1/4"".",Excellent Stetson-construction.
1,Not even close to the color in the picture and not even close to what anyone would call royal blue. It is a very light blue. Going to return if I can. Super hassle.,Not as pictured or described.
1,Bad quality. Shiny material. Not Disney! DONT BUY!,Not Disney!
1,"This bag, and every one like it is shipped from China, where it is crudely swen together. When I received the bad, 3 full weeks after I ordered it, the inside pocket was already ripped, the long handle that comes with it was shredded and within two weeks, the 'gold' clasp on the handle had snapped clean off. What a waste.

Problem is, I LOVE the size and design of the bag. Too bad its crap.",and every one like it is shipped from China
1,Should be zero stars. My wife bought to hold a baby asiprin or two. I have never seen a pill small enough to fit in this thing.,Of no use.
1,Washed on a delicate setting immediately after receiving it and the beads all came off.,fell apart
1,Too small,One Star
1,"Worst dress ever, the end",One Star
1,They were really stiff I had to return them.  Would not buy again.,They were really stiff I had to return them. ...
1,"Not satisfied, daughter does not like material,, how do I return,, ty",One Star
1,Fake..not original..dont buy,Fake.. not original..
1,Very cheap material,One Star
1,"I wish I could give this backpack a great score. I love the features-- the water bottle holders, the sunglasses protective pouch, the laptop sleeve. My challenge is that I've had this backpack less than 6 months-- I only use it to commute (about 45-60 min total per day... 2-3 days a week max) and unfortunately the strap is already ripping. I've tried contacting both the vendor on here, as well as Thule directly and no one will get back to me. I would avoid this backpack generally-- not because its a bad pack, but if there is something wrong with it or it's defective, you will not get any help. I'm not psyched to have to buy another backpack so soon after purchasing this one.",I wish I could give this backpack a great score. I love the features-- the water bottle ...
1,I wore them to bed they broke,One Star
1,Not what I expect,One Star
1,Shirt was cheaply made compared to others made by this company and it was overall too small.  Returned it,One Star
1,Washed once and it shrunk down so small it can't be worn. Never got to even wear it! And the stitching all came loose in the wash as well.,Washed once and it shrunk down so small it can't ...
1,This is really a watch for a child.  It is very small...not in its fit for it easily went around my wrist.  It just seemed more like a toy than a watch.,not in its fit for it easily went around my wrist
1,I was surprised when I received the boots. The opening is very small. Couldn't get my foot into them. Disappointed because now I have to return them.,Disappointed because now I have to return them
1,The product fits appropriately as desired for my bethrothed.  i ordered a black jacket for her birthday. And the product did not meet the advertisement as displayed on amazon. It was instead a grey. This was false advertisement. Its a great hacket. But not what i ordered i recommend that no one should ever order from this account that i purchased the wwp jacket from.,Product not as advertised.
1,"After only 2 months of school, the strap has ripped off this bag. Very disappointed in the quality.",Strap ripped off after 2 months
1,Weird material. And VERY tight.,One Star
1,"I bought the same size I buy all my leggings/tights in and when these arrived I had a breakdown. They are incredibly WAY to small! They look child sized!! They were a complete waste of money and I plan on attempting to get my money back! What do I want with child sized gold leggings??! (if I could leave zero stars,.i most definitely would!!)",Small = Child Size -_-
1,Junk. Cheap.  Hard to see the nativity scene.  Tossed in the trash.,Junk jewelry.
1,This was by far the worst purchase I have ever gotten off of amazon.  Was very disappointed when this product got here.,This was by far the worst purchase I have ever gotten off of amazon
1,"By far the worst bra I have purchased from panache. The cut of it is terrible, one cup is at least a while size smaller than the other. The material is terrible. Rough and itchy. It irritated my skin just trying out on!",Do not buy! Cheap junkie bra.
1,Very cheaply made item. Actually looks horrible. It was a absolute waste of money!!!,Don't waste your money!!
1,"I am 5'4"" 110 lbs inseam is 30 I wear a size 2 after reading reviews I bought a XL they fit good but zipper was crooked and hard to zip up  I reported it company they said would refund some of the purchase price this was almost a month ago still have not received any kind of refund and know zipper has broke!",XTX womens vintage jeans high waisted denim cowboy ..............DO NOT BUY!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
1,These slippers are 100% polyester (NO WOOL),Not Wool
1,I'm confused about the CM measuring chart on the ad.. I looked up how to convert CM to Inches & the formula is 1 inch = 2.54 CM. or 10 CM = 3.94 inches. Example =  a 30 inch waist x 2.54 = 76.2 CM & this number is a higher number than any of the small thru x-large sizes listed which means all the jacket waist is less than 30 inches.  The M size waist on the chart  is 57.5 CM =  22.34 inches. Even the extra large is less and 30 inches.  How can I buy anything based on the distortion?  Why not demand your vendors state sizes in inches?,The size chart makes no sense
1,is small,One Star
1,"These seem to always fall out, need to be a screw on type post.  THANKS",One Star
1,"coarse fabric and unrealistic fit - leg openings were way too small, butt was too large and the elastic waist band should never be worn against skin",rough fabric - atrocious fit
1,"Bought for my daughter and they were too small, not comfortable and fit weird yet I had to pay shipping to return them.",not comfortable and fit weird yet I had to pay shipping ...
1,Only T shirt is matched suspender stripes does not match with the photo shown. I have learned lesson that never buy apparels which doesn't have reviews. Finally very unhappy with the product.,product does not match with Photo
1,"This was obviously cheap so I didn't expect it to last, but they were broken on arrival. The part to adjust the length was bent/didn't align correctly so they weren't useable from the start.","CHEAPLY made, couldn't adjust"
1,I originally loved them but not so much when the soles got holes in them after only two weeks of wearing them in the house. The boot still looks great but the soles are trash.,Four Stars
1,"Very uncomfortable, I took them to work I had to come back home and change.",One Star
1,"Fabric very poor quality, like acetate or something",One Star
1,"Bra is loose, material is cheap swim suit material. There is no hold.",One Star
1,"wicked cheap Chinese knock off , not a authentic metal mullisha shirt at all.  Do not purchase!!!",One Star
1,"The item arrived broken, one of the metal pieces was bent away from the plastic and unable to be fixed",Broken
1,Really suitable for a child,One Star
1,Did not work,One Star
1,cheap material,One Star
1,"Very disappointed, I saved these sandals to wear until labor day weekend & the first day I wore them one of the diamonds fell off,  not the quality I thought they would be.",Diamond fell to quickly
1,"I've bought and received a few Love & Lock tops as gifts and I had absolutely no problem with them. The teal top is actually my favorite top in my closet! So when the purple top arrived in the mail, I immediately threw the tags away. Unfortunately, when I decided I was going to wear it to work yesterday, I noticed there are two ""lines"" in the fabric where it looks like the shirt was scratched or scraped and it thinned it out. Additionally, the stitching on the shoulder is coming undone. And this top has never been worn! I could understand the stitching coming loose after 15-20 washes but fresh out of the packaging? Not cool.

Per the return policy, you have to have it in the original packaging and since I previously trusted this brand and threw the tag and wrapping away, it seems that I'm stuck with this defective top. If I could send it back for a replacement, I would.",Check material BEFORE throwing away tag and packaging!!
1,I normally wear larges but this was WAY to small,One Star
1,"Not at all as shown.  Cheaply cut piece of cloth.  Have to be super thin to even come close to fitting as pictured.  Shorter than pictured.  Is not flattering for short and chubby, meant for thin.  I'm too late to return so it's trash.",Have to be super thin to even come close to fitting as pictured
1,Glass was scratched right when I got it,One Star
1,Shoes were very uncomfortable.,One Star
1,Total junk.,Junk
1,I bought this about a year and half ago atleast but I still never get to wear it :( it just looks sooo out of style and it does not fit my personality. Its one of my bad purchase ,Four Stars
1,Too small,One Star
1,I wanted a size 10 it came size 11,Too big
1,"I had a pair of polarized Electric sunglasses that I purchased from a reputable high end surf shop for about $120.  Those were my favorite glasses, but I set them down for a minute and someone snatched them.  So I bought this replacement pair on Amazon ($90).  Nothing at all like my previous glasses. The frame was small and cheaply made and the ""polarized"" lenses blocked nothing.  I kept taking them off and putting them back on when I was driving and I honestly could not decide which was better.  Returning to Amazon.  I've purchased better sunglasses at a drug store for under $20.

I would not be surprised if these were off-brand impostors.",Very disappointing - buyer beware
1,Too big,One Star
1,"The Roman numeral 4 is wrong.  How could Invicta get every watch with Roman numerals WRONG?  The roman numeral 4 is IV.  It is not IIII.  Roman numerals have no more than 3 characters, like III for the number 3.  How many other watch makers didn't run qualltiy checks for this?  A lot.  I didn'tbuy this watch for this reason.  Why would I wear something that looks like it came from the ""reject"" bin?",The Roman numeral 4 is the wrong symbol.
